тэрмін на мове арыгінала (eng.),пераклад тэрміна на беларускую мову,як не перакладаць,заўвагі
“Internet Web Sign-in” Information Migration Agreement,Пагадненне аб пераносе інфармацыі для «Уваходу на вэб-сайты ў Інтэрнэт-праграме»,,Samsung
360 degree spherical video,сферычнае панарамнае відэа,,"Google (A YouTube video that gives a user a complete 360 degree (sphere-like) view of what is being filmed, making action sports videos, etc. that much more exciting and interactive. See: https://support.google.com/youtube/answer/6178631?hl=en)"
360 degree video,панарамнае відэа,,"Google (A YouTube video that gives a user a complete 360 degree view of what is being filmed, making action sports videos, etc. that much more exciting and interactive. See: https://support.google.com/youtube/answer/6178631?hl=en)"
360 video,панарамнае відэа,,"Google (A spherical video (typically 360° x 180° degrees). When viewed in VR, the user is placed at the center of the video and to the user it seems like the video is playing all around him/her. See https://www.youtube.com/watch?v=edcJ_JNeyhg for a video example.)"
3D model,3D-мадэль,,MS
3rd party,старонні,,Samsung
4-pin connector,4-кантактны раздым,,"Google (Set of metal pins typically used for docking or charging a device, for example, the 4 gold-colored dots on the left side of a Nexus 7 device.)"
A Biennial of Creative Video,Біенале крэатыўнага відэа,,Google (This is the main strapline for the YouTube Play project.)
a snap-shot of life,эпізод з жыцця,,"Google ([WIAD] A film capturing life of a person in one moment in time, for example one day of your life.)"
A to Z,ад А да Я,,Samsung
A/B test,A/B-тэст,,Google (A test that allows you to compare the effectiveness of two different versions and assess the results.)
abort,"перарваць, скасаваць",,"Telegram — перарваць, скасаваць
MS — перарваць, перапыніць"
about,інфармацыя; аб праграме; аб,,"Samsung — Інфармацыя (Menu name);
MS — інфармацыя (The Settings screen containing information relating to the phone, such as phone manufacturer, available storage, OS version, etc.), Аб праграме (The menu item that opens the About dialog box, which includes the copyright, licensing, and license terms for the product.), Партфоліа (The Docs.com online portfolio on a user's profile site that displays resume content as rendered by Sway.)
Telegram — звесткі (інфармацыя пра бота, ці групу), аб праграме"
About Device,Аб прыладзе,,Samsung
About Samsung Members,Аб Samsung Members,,Samsung
about to,збіраецеся,,"Telegram, Project Zomboid"
absolute volume,абсалютны гук,,Google (Feature to control volume on remote devices via Bluetooth)
Abu Dhabi,Абу-Дабі,,Samsung
abuse,"агрэсія, парушэнне правілаў",,"Google (Noun. A reason for flagging videos or reporting another user via the Help Center. Refers to harassment of a YouTube user by another user, which can include threats, sharing of private information, or instigating others toward such acts. Can lead to suspension of the abusive user's account.)"
abusive user,"агрэсіўны карыстальнік, парушальнік правілаў",,"Google (Any user who harasses another user through threats, sharing of private information, or other means.)"
AC adapter,адаптар пераменнага току,,Google (Adapter used to plug a device into a wall socket in order to charge the device.)
Accelerated,Скоры,,Google (Feature. Used to describe a video that's pre-loaded and available to watch without buffering. See screenshot for further info: https://screenshot.googleplex.com/JSxk9svWPs)
Accelerated Mobile Pages,Accelerated Mobile Pages,,"Google (A cross-PA effort to make mobile web publishing thrive in the open web ecosystem. With the AMP HTML format, it takes less effort to create mobile friendly content which loads instantly across a variety of platforms. NOTES: Please keep in English)"
acceleration,паскарэнне,,Samsung
Accelerator,Паскаральнік,,Google (Youtube Accelerator is a tool that is capable of improving users browsing experience by improving the video streaming speed)
accelerometer,акселерометр,,"Google (An instrument for measuring acceleration incorporated into many mobile devices to measure changes in speed. Accelerometers are used for various user interface controls, such as controls in games.)"
accent,дамінуючы; сімвал націску,,"MS — акцэнтаваць, дамінуючы, надрадковы знак, акцэнт, акцэнтны, зрушэнне, зрушаны, кантрастны, націск;
Telegram — дамінуючы;
Anki — сімвал націску"
accent color,дамінуючы колер,,
accept,прыняць,,"Samsung, MS, Telegram"
Accept and pay,Прыняць і аплаціць,,Samsung
Accept money,прыняць грошы,,Samsung
access,доступ; звяртацца; звярнуцца,,"Samsung;
MS — доступ"
access point,пункт доступу,,"Samsung, MS (A device used to connect wireless computers and other wireless devices to a wired network.)"
Access Point Name,Назва пункта доступу,,Google (Often abbreviated as APN. The name of a gateway between a mobile network and another network. Used to configure a phone to connect to a carrier's wireless networks.)
access SIM card,доступ да SIM-карты,,Samsung
accessibility,спецыяльныя магчымасці,,"Google (The quality of a system incorporating hardware or software to engage a flexible, customizable user interface, alternative input and output methods, and greater exposure of screen elements to make the computer usable by people with cognitive, hearing, physical, or visual disabilities.), Samsung, MS"
accessory,аксесуар,,Samsung
accident,аварыя (агульны тэрмін); ДТЗ (транспарт),,Samsung — аварыя; ДТЗ
account,"уліковы запіс, уліковага запісу, уліковым запісе",конт,"Google — уліковы запіс (A set of attributes that define a user's access to a given service or application.), Samsung"
accounts,"уліковыя запісы, уліковых запісаў, уліковымі запісамі",,
Accra,Акра,,Samsung
accuracy,дакладнасць,,Samsung
accurate,дакладны,,"Samsung, Telegram, MS"
achieve,дасягнуць,,Samsung
achievement,дасягненне,,"Google (Special award that is unlocked when you complete a specific task in a game. For example, discovering a secret level, gaining a score above a defined threshold, etc.)"
action,дзеянне,,Samsung
action bar,панэль дзеянняў,,Samsung
action freeze,стоп-кадр,,Samsung
action item,дзеянне да выканання,,"Google (An action item is something that a user needs to take action on in a Google Doc. Usually, one user assigns an action item to another by mentioning them in a comment. The assignee is notified and is responsible for marking the action item as done.)"
action memo,актыўная памятка,,Samsung
actions,дзеянні,,"Google (A UI option within Android Wear, actions are large blue buttons off to the right side of cards [e.g. the flight card has navigate actions, to navigate to the airport or there is a “check-in” action to check into your flight])"
activate,актываваць,,"Samsung, MS"
activation,актывацыя,,"Samsung, MS"
active,актыўны,,"Samsung, MS"
active claim,актыўная прэтэнзія,,"Google (A policy is currently being applied (eg: the video is being blocked, monetized, etc) (in the context of Content ID).)"
active key,актыўная клавіша,,Samsung
active mode,актыўны рэжым,,Google (A UI option within Android Wear. The screen is illuminated and is listening for “ok google”.)
Active Promotions,Актыўныя прома-акцыі,Актыўныя акцыі,"Google (Within the Promotions section of the Google Play Developer Console, this is where developers can view promotions that are live or on hold.)"
Active Sharing,Актыўнае абагульванне,,"Google (Feature which broadcasts the video that the user is currently viewing. Other users will be able to see the broadcaster's username on the Watch page of the video, and a list of recently viewed videos on that person's profile page.)"
ActiveSync,ActiveSync,,Samsung
activities,дзеянні; дзейнасць; актыўнасць,,
activity,дзейнасць; дзеянне; актыўнасць,,Samsung
activity badge,значок дзейнасці,,"Google (An activity badge is rendered over a user's avatar for an activity that they carried out on a collaborative album, such as an album liked, or a comment added, etc.)"
Activity log,Журнал актыўнасці,Гісторыя актыўнасці,Google (A section within the Google Play Developer Console where account owners can see changes made to the account by all account users.)
actual,фактычны,,Samsung
acute accent,акут,,Samsung
Adapt Display,Adapt Display,,Samsung
adapter,адаптар,,Samsung
add,дадаць,,Samsung
add star,дадаць зорку,,Samsung
add-in,надбудова,,
add-on,"дадатковы кампанент
","даданне, пашырэнне","MS — дадатковы кампанент, дадатак"
added,дададзена,,"Samsung, Telegram, MS"
Addis Ababa,Адыс-Абеба,,Samsung
additional,дадатковы,,Samsung
addon,гл. add-on,,
address,адрас,,Samsung
address bar,адрасны радок,,Samsung
Adelaide,Адэлаіда,,Samsung
adjust,рэгуляваць; ! дапасаваць,,"Samsung — рэгуляваць; дапасаваць; наладзіць
MS — рэгуляваць"
Adjust comfort range,Наладзіць дыяпазон камфорту,,Samsung
adjustment,рэгуліроўка,,"MS — рэгуліроўка; карэкціроўка, карэкцыя"
admin,адміністратар,,Samsung
admin categories,катэгорыі адміністратараў,,Samsung
administrator,адміністратар,,"Google (Person who manages a license for an asset and sets the policies that YouTube will apply to claims associated with that asset.), Samsung

трэба адрозніваць ад кіраўнікоў у ТГ."
admit,дапусціць,,Samsung
admit all,дапусціць усё,,Samsung
adress,адрас,,
Ads Personalization,Персаналізацыя рэкламы,,"Google (A new ads setting control in a user's account that will allow a user to decide whether data saved to their account is used to personalize the ads experience. This previously has been referred to as ""Ads based on your interests"".)"
adult,дарослы,,Samsung
advanced,пашыраныя налады; пашыранае ...,,Telegram — пашыраныя налады; пашыранае ...
adventure,прыгоды,,Samsung
advertising ID,рэкламны ідэнтыфікатар,,"Google (The advertising ID is a user-specific, unique, resettable ID for advertising, provided by Google Play services. It gives users better controls and provides developers with a simple, standard system to continue to monetize your apps. It is an anonymous identifier for advertising purposes and enables users to reset their identifier or opt out of interest-based ads within Google Play apps.)"
AdWords for Video,AdWords для відэа,,Google (Product name. Advertising system that allows you to place and manage video ads on YouTube and the Google Display Network.)
AF lamp,Лямпа аўтафокуса,,Samsung
AF sound,Гук аўтафокуса,,Samsung
Afghanistan,Афганістан,,CLDR
Africa,Афрыка,,CLDR
Afrikaans,афрыкаанс (мова),,CLDR
After that,Пасля гэтага,,Samsung
age,узрост,,Samsung
age-restricted content,змесціва для пэўных узростаў,,Google (Content that is not appropriate for viewers of all ages.)
agenda,распарадак,,"Google, Samsung"
aggregation,групаванне,,Google (Within YouTube Analytics – Aggregation is attribution at a level higher than a single content owner. Perhaps a partner has several content owners on YouTube or has other online entities and wants to report their video views together under the same name.)
Aghem,агем (мова),,CLDR
Agree,Згадзіцца,,Samsung (Button name (Lower))
aim,нацэльванне; нацэліць; нацэльвацца,,"Project Zomboid

Перавага гэтаму слову з-за наяўнасці славаформы «нацэліць», чаго няма ў выпадку з «прыцэльваннем».
Ужыванне абодвух прыставак звычайна раўназначнае ў карпусах"
air,паветра; бескантактны,,Samsung
air browse,бескантактны агляд сайтаў,,Samsung
air call-accept,бескантактны прыём выкліку,,Samsung
air command,бескантактная каманда,,Samsung
air conditioner,кандыцыянер,,Samsung
air gesture,бескантактны жэст,,Samsung
air gesture indicator,індыкатар бескантактных жэстаў,,Samsung
air jump,бескантактны пераход,,Samsung
air move,бескантактнае перамяшчэнне,,Samsung
air pin,бескантактнае замацоўванне,,Samsung
air scroll,бескантактная прагортка,,Samsung
air view,бескантактны прагляд,,Samsung
airplane mode,"рэжым палёту, ! рэжым «У самалёце»",,"Google — рэжым палёту (A device setting for turning off all wireless radios on the device so that it can be used while on board an aircraft.);
MS — рэжым палёту;
Samsung — рэжым «У самалёце»"
Akan,акан (мова),,CLDR
Aland Islands,Аландскія астравы,,CLDR
Åland Islands,Аландскія астравы,,CLDR
alarm,будзільнік,,Google (An alert that is set by the user to be activated at a particular time.); Samsung
alarm clock,будзільнік,,"Google (Name of an app on the Home screen. This is a clock that can be set to sound an alarm at any time.), Samsung"
Albania,Албанія,,CLDR
Albanian,албанская,,CLDR
album,альбом,,"Google (Albums are used to organize your photos and videos; In the context of music, a collection of songs distributed as a single item.), Samsung"
Album Creator,Стварэнне альбомаў,,Samsung
alcohol,алкаголь,,Samsung
alcohol wipes,спіртазмяшчальныя сурвэткі,,Project Zomboid
alert,абвестка; сігнал,,"Samsung, Google, MS"
Alerts,Абвесткі,,"Google (A section on the Google Play Developer Console where developers can see if there are performance, security, or other problems with their apps.)"
Algeria,Алжыр,,CLDR
algorithm,"алгарытм, алгарытму",,
alias,псеўданім,,Samsung
align,выраўнаваць,,"Samsung, MS"
Align left,Выраўнаваць па левым краі,,"MS, Anki"
Align right,Выраўнаваць па правым краі,,"MS, Anki"
alignement,выраўноўванне,выроўніваньне,"MS, Moon Reader"
alignment,гл. alignement,,
all,усё,,"Google (More than better semantics, ""All"" is a clear statement of intent. It is platform agnostic and vertical agnostic. ""All"" is a hugely positive word for a Search company and faithfully represents our core mission. As Google, what information should we organize and make universally accessible and useful? All of it of course! For more insight into the change, imagine the ""All"" in ""Search All the things"". NOTES: This term will appear just below the Search bar on the homepage alongside ""Maps"", ""News"", ""Shopping"", etc.)"
All Promotions,Усе прома-акцыі,,"Google (Within the Promotions section of the Google Play Developer Console, this is where developers can view all promotions they've created, including those that have ended.)"
All-day events,Падзеі на ўвесь дзень,,Samsung
allow,дазволіць,,Samsung
AllShare,AllShare,,Samsung
AllShare cast,AllShare cast,,Samsung
AllShare Play,AllShare Play,,Samsung
Almaty,Алматы,,Samsung
alpha testing,альфа-тэсціраванне,,"Google (On the Google Play Developer Console, publishing an app for alpha or beta testing means publishing a pre-release version of an app to a group of testers. In contrast to when an app is published to ""Production,"" where all Google Play users can download the app, apps published for alpha or beta are being published on a testing track that's available to select users.)"
alphabet,алфавіт,,Samsung
Alphabetical grid,Алфавітная табліца,,Samsung
Alphabetical list,Алфавітны спіс,,Samsung
already,ужо,,Samsung
alteration,змяненне,,
alternating colors,зменныя колеры,,Google
alternative,альтэрнатыўны; альтэрнатыва,,Samsung
alternative password,альтэрнатыўны пароль,,Samsung
altitude,вышыня,,Samsung
Always,Always,,Samsung (App name)
AM,AM,,
amazing,цудоўна; цудоўны,,
Ambiance,Навакольнае святло,Настрой,Google (The Ambiance control is a special type of contrast that controls the balance of light in a photo. It can be used to balance backlit photos or to accentuate contrasts throughout your photo. Swipe right for photos where the subject is darker than the background. Swipe left to increase the contrast of dark objects and create a slight glow around darker objects. This is especially helpful in photos that are slightly flat.)
ambient,неактыўны рэжым; наваколле (гукі),агульнае святло,"Google — неактыўны рэжым (A UI option within Android Wear. After a certain amount of inactivity, the screen darkens and shows limited colors (low-bit display) to save battery, but the watch is still listening for ""Ok Google"". This is an alternate setting name for ""always-on screen"" that's used on certain devices to emphasize that the watch is in ambient mode.)
Project Zomboid — наваколле (гукі)"
ambient light sensor,датчык знешняй асветленасці,,"Google (A sensor that automatically adjusts the brightness of the screen based on the surroundings, in order to extend battery life.)"
